Episode,Reward,Steps,Entropy
252,-6.0,99,4.288842678070068
253,-3.0,99,4.290293216705322
254,-1.0,99,4.277231693267822
255,-6.0,99,4.274188995361328
256,-3.0,99,4.264341354370117
257,-4.0,99,4.203907012939453
258,-6.0,99,4.206450462341309
259,-1.0,99,4.24601936340332
260,-3.0,99,4.187462329864502
261,-1.0,99,4.235814094543457
262,-10.0,99,4.229710102081299
263,0.0,99,4.167264461517334
264,-2.0,99,4.217801570892334
265,-7.0,99,4.231351375579834
266,-2.0,99,4.250755786895752
267,-5.0,99,4.235281944274902
268,-4.0,99,4.227963447570801
269,-5.0,99,4.292172431945801
270,-4.0,99,4.29229211807251
271,0.0,99,4.253034591674805
272,-3.0,99,4.256279945373535
273,-5.0,99,4.287099361419678
274,0.0,99,4.26591682434082
275,-5.0,99,4.302185535430908
276,-1.0,99,4.275247573852539
277,-4.0,99,4.33125114440918
278,-5.0,99,4.2941460609436035
279,-5.0,99,4.314102649688721
280,-2.0,99,4.304845333099365
281,-5.0,99,4.325684070587158
282,-4.0,99,4.303836822509766
283,-2.0,99,4.282037734985352
284,-3.0,99,4.255598068237305
285,-2.0,99,4.262202739715576
286,-1.0,99,4.289421081542969
287,-7.0,99,4.307340621948242
288,-5.0,99,4.29018497467041
289,-4.0,99,4.32277250289917
290,-4.0,99,4.287866592407227
291,-3.0,99,4.32090950012207
292,-10.0,99,4.328185558319092
293,-3.0,99,4.316009521484375
294,-1.0,99,4.311946868896484
295,-4.0,99,4.291186332702637
296,-2.0,99,4.295612812042236
297,-2.0,99,4.275378227233887
298,-2.0,99,4.289150714874268
299,-6.0,99,4.2998046875
300,-3.0,99,4.322686195373535
301,-7.0,99,4.311092853546143
302,-4.0,99,4.264197826385498
303,-1.0,99,4.321136951446533
304,-2.0,99,4.323225975036621
305,-2.0,99,4.328928470611572
306,-1.0,99,4.306521892547607
307,-2.0,99,4.289921760559082
308,-5.0,99,4.307395935058594
309,-4.0,99,4.31558895111084
310,-5.0,99,4.294921398162842
311,-3.0,99,4.301724910736084
312,-1.0,99,4.264567852020264
313,-6.0,99,4.25190544128418
314,-7.0,99,4.299450874328613
315,-4.0,99,4.243902206420898
316,-1.0,99,4.2531280517578125
317,-3.0,99,4.281109809875488
318,-4.0,99,4.276154041290283
319,-2.0,99,4.264812469482422
320,-5.0,99,4.275206089019775
321,0.0,99,4.2544755935668945
322,-3.0,99,4.233921527862549
323,-4.0,99,4.2504777908325195
324,-4.0,99,4.2454938888549805
325,-1.0,99,4.252565860748291
326,-1.0,99,4.261690616607666
327,-1.0,99,4.234100818634033
328,-6.0,99,4.256010055541992
329,-3.0,99,4.203156471252441
330,0.0,99,4.201723098754883
331,-2.0,99,4.2716217041015625
332,-1.0,99,4.264361381530762
333,-10.0,99,4.278886795043945
334,-1.0,99,4.2717413902282715
335,-5.0,99,4.250348091125488
336,-2.0,99,4.258581161499023
337,-1.0,99,4.2910895347595215
338,-2.0,99,4.274566650390625
339,-3.0,99,4.252570629119873
340,-2.0,99,4.279590606689453
341,-2.0,99,4.270303726196289
342,-2.0,99,4.275755405426025
343,-4.0,99,4.286569595336914
344,-4.0,99,4.314904689788818
345,-3.0,99,4.299483299255371
346,-1.0,99,4.3006510734558105
347,-2.0,99,4.3025946617126465
348,-2.0,99,4.3158416748046875
349,-3.0,99,4.295629501342773
350,-4.0,99,4.2826337814331055
351,-4.0,99,4.295983791351318
352,-6.0,99,4.283019065856934
353,-5.0,99,4.26263427734375
354,-3.0,99,4.286205291748047
355,-3.0,99,4.308597564697266
356,-2.0,99,4.2926411628723145
357,-3.0,99,4.290874481201172
358,-2.0,99,4.288246154785156
359,-4.0,99,4.28978967666626
360,-2.0,99,4.314253330230713
361,-1.0,99,4.298001289367676
362,-3.0,99,4.316539287567139
363,-2.0,99,4.293831825256348
364,0.0,99,4.295206069946289
365,-5.0,99,4.275808334350586
366,-3.0,99,4.295114994049072
367,-4.0,99,4.3285956382751465
368,-1.0,99,4.312228202819824
369,-1.0,99,4.312099456787109
370,0.0,99,4.314435005187988
371,-2.0,99,4.3077778816223145
372,-1.0,99,4.3292555809021
373,-2.0,99,4.3053202629089355
374,-4.0,99,4.31718111038208
375,-9.0,99,4.312172889709473
376,-3.0,99,4.305154323577881
377,-3.0,99,4.32827091217041
378,-3.0,99,4.334348678588867
379,-5.0,99,4.312410831451416
380,-7.0,99,4.33043098449707
381,-3.0,99,4.328559398651123
382,-5.0,99,4.315128326416016
383,-7.0,99,4.3209357261657715
384,-5.0,99,4.330985069274902
385,-4.0,99,4.324568748474121
386,-8.0,99,4.336339473724365
387,-3.0,99,4.338019371032715
388,-7.0,99,4.3371453285217285
389,-7.0,99,4.31914758682251
390,-2.0,99,4.353202819824219
391,-5.0,99,4.328574180603027
392,-8.0,99,4.353322982788086
393,-7.0,99,4.337578296661377
394,-2.0,99,4.332073211669922
395,-6.0,99,4.3442792892456055
396,-3.0,99,4.344559192657471
397,-2.0,99,4.329105377197266
398,-5.0,99,4.322360992431641
399,-3.0,99,4.301395893096924
400,-4.0,99,4.312064170837402
401,-4.0,99,4.30493688583374
402,-6.0,99,4.3205461502075195
403,-6.0,99,4.314448833465576
404,-2.0,99,4.311526298522949
405,-6.0,99,4.318454742431641
406,-2.0,99,4.29719877243042
407,-9.0,99,4.287003517150879
408,-4.0,99,4.275312423706055
409,-4.0,99,4.315828323364258
410,-3.0,99,4.309415817260742
411,-5.0,99,4.317057132720947
412,-7.0,99,4.3197431564331055
413,-7.0,99,4.333903789520264
414,-5.0,99,4.335483074188232
415,-5.0,99,4.319334030151367
416,-7.0,99,4.316651821136475
417,-1.0,99,4.3193793296813965
418,-7.0,99,4.316497325897217
419,-2.0,99,4.31557035446167
420,-5.0,99,4.315348148345947
421,-10.0,99,4.300500869750977
422,-5.0,99,4.27345609664917
423,-4.0,99,4.277070045471191
424,-6.0,99,4.278985977172852
425,-6.0,99,4.269434928894043
426,-2.0,99,4.245739936828613
427,-3.0,99,4.217858791351318
428,-1.0,99,4.256833553314209
429,-3.0,99,4.255046367645264
430,-7.0,99,4.2563276290893555
431,-2.0,99,4.262354850769043
432,-6.0,99,4.234306335449219
433,-4.0,99,4.236057281494141
434,-3.0,99,4.227195739746094
435,-5.0,99,4.236063003540039
436,-4.0,99,4.304636001586914
437,-5.0,99,4.249243259429932
438,-2.0,99,4.2494988441467285
439,-2.0,99,4.293361663818359
440,-6.0,99,4.254019737243652
441,-7.0,99,4.272022247314453
442,-4.0,99,4.271583557128906
443,-3.0,99,4.26790189743042
444,-7.0,99,4.277943134307861
445,-8.0,99,4.258597373962402
446,-2.0,99,4.250457763671875
447,-5.0,99,4.294972896575928
448,-1.0,99,4.279104232788086
449,-4.0,99,4.26924991607666
450,-9.0,99,4.299779891967773
451,-2.0,99,4.295267105102539
452,-3.0,99,4.2981719970703125
453,-6.0,99,4.316078186035156
454,-1.0,99,4.289030075073242
455,-2.0,99,4.288796901702881
456,-1.0,99,4.321666717529297
457,-7.0,99,4.3098673820495605
458,0.0,99,4.308131217956543
459,-4.0,99,4.317237854003906
460,-2.0,99,4.336439609527588
461,-3.0,99,4.327478408813477
462,-2.0,99,4.310489177703857
463,-4.0,99,4.332634925842285
464,-1.0,99,4.342451572418213
465,-1.0,99,4.285457134246826
466,-1.0,99,4.329831123352051
467,-4.0,99,4.292884826660156
468,-4.0,99,4.329172134399414
469,-2.0,99,4.304982662200928
470,-4.0,99,4.317361831665039
471,-3.0,99,4.313199520111084
472,-2.0,99,4.286884307861328
473,-2.0,99,4.303342819213867
474,-5.0,99,4.3020195960998535
475,-4.0,99,4.285408973693848
476,-5.0,99,4.2938408851623535
477,0.0,99,4.294198513031006
478,-7.0,99,4.332076549530029
479,-2.0,99,4.262435436248779
480,-2.0,99,4.266269207000732
481,-9.0,99,4.27830171585083
482,-7.0,99,4.306815147399902
483,-3.0,99,4.308963775634766
484,-3.0,99,4.291190147399902
485,-10.0,99,4.295495510101318
486,-6.0,99,4.315680980682373
487,-7.0,99,4.315132141113281
488,-3.0,99,4.2577128410339355
489,-9.0,99,4.303372859954834
490,-4.0,99,4.298444747924805
491,-4.0,99,4.280466079711914
492,-5.0,99,4.268852233886719
493,0.0,99,4.284805774688721
494,-1.0,99,4.292139530181885
495,-3.0,99,4.292272567749023
496,-3.0,99,4.275608539581299
497,-4.0,99,4.249017238616943
498,-3.0,99,4.330129146575928
499,-4.0,99,4.289015293121338
500,-2.0,99,4.327895641326904
